Scenario,Version,Case,Asset,Category,Unit,Basis,Account,CY2022,CY2023,CY2024,CY2025,CY2026,CY2027,CY2028,CY2029,CY2030,CY2031,CY2032,CY2033,CY2034,CY2035,CY2036,CY2037,CY2038,CY2039,CY2040,CY2041,CY2042,CY2043,CY2044,CY2045,CY2046,CY2047,CY2048,CY2049,CY2050,CY2051,CY2052,CY2053,CY2054,CY2055,CY2056,CY2057,CY2058,CY2059,CY2060,CY2061,CY2062,CY2063,CY2064,CY2065,CY2066,CY2067,CY2068,CY2069,CY2070,CY2071,CY2072,CY2073,CY2074,CY2075,CY2076,CY2077,CY2078,CY2079,CY2080,CY2081,CY2082
Gate,S,Case1,Arkansas,S3,ktCO2e,STO_Nom_Input,OA,0,0,0,0,0,0,78.76232826,463.6859676,463.6822902,463.6822902,618.3289152,991.3686102,1292.681947,1227.248555,1090.964142,918.8882156,802.0061001,797.792111,873.7933994,898.5750573,899.3107216,787.4683111,720.5985103,662.5275794,631.7316632,592.2021138,549.2453844,512.441344,473.653269,950.4724706,897.8782921,849.4659479,812.2061715,779.7472035,745.7789268,709.3323043,679.6567346,647.3766338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Emission,ktCO2e,STO_Nom_Input,OA,0,0,0,0,0,0,59.39739046,349.6815937,349.6788204,349.6788204,466.3031785,747.625289,974.856077,925.5104972,822.7337177,692.9653216,604.8204837,601.6425691,658.9577641,677.6464677,678.2012576,593.8570352,543.4282103,499.6349167,476.4106534,446.6000557,414.2049033,386.449706,357.1982797,716.7840985,677.1210131,640.6115932,612.5127096,588.0342815,562.4176315,534.9319754,512.5526039,488.2090657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,%,STO_Nom_Input,OA,0,0,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,50.39604226,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,%,STO_Nom_Input,OA0004,0,0,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,22.31409581,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,OA0007,0,0,-3.263563541,-9.067998424,-37.92358148,-145.2000348,-95.94294461,-38.45963216,-28.92126254,14.53673398,131.7649854,217.3785895,152.8314682,146.9781362,131.8846027,111.993492,98.72945107,100.1784564,112.6895458,116.9536416,113.7457512,105.2996683,97.67865442,91.02710968,88.21322863,73.10883247,74.77489634,68.44650548,66.07209028,65.43771944,80.11530787,63.83363154,37.54054004,35.01647357,-0.298694045,16.97099166,7.96882297,-0.538574788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,OA0008,0,0,-3.023708673,-8.401547922,-35.02689272,-134.1533079,-86.73433434,-27.34032381,-11.15547513,31.17867354,96.60051562,152.3354693,108.2681099,102.2845169,90.20795952,76.00590474,66.93182763,67.7019378,75.89425735,78.7250174,76.4423186,70.67318103,65.51771783,61.04514049,59.16300394,49.11091072,50.16779898,45.9354504,44.31980318,45.03160836,54.68422512,43.80286066,26.30680069,24.58061274,-0.276741593,13.88371947,6.284082531,-0.498992355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,S3,ktCO2e,STO_Nom_Input,OA11,0,0,0,0,0,0,8.211742365,48.34379314,48.34340973,48.34340973,64.46683156,103.359865,134.7747247,127.9526542,113.7436725,95.80307561,83.61697292,83.17762339,91.10150037,93.68523036,93.76193056,82.10126636,75.1294362,69.07497419,65.86419901,61.74285721,57.26419841,53.42701756,49.38298171,99.09604282,93.61258578,88.56512582,84.68043004,81.29626545,77.75474068,73.95482413,70.860856,67.49534006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Emission,ktCO2e,STO_Nom_Input,OA11,0,0,0,0,0,0,19.42185766,114.3394699,114.3385631,114.3385631,152.47259,244.4597622,318.7600638,302.6249639,269.0188414,226.586955,197.7652091,196.7260893,215.4671073,221.5779707,221.7593768,194.1803625,177.6910613,163.3714573,155.7775489,146.0300301,135.4374092,126.3619685,116.7972885,234.3752584,221.4061567,209.4682457,200.280426,192.2764288,183.9002539,174.9129483,167.5953041,159.6354135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,S3,ktCO2e,STO_Nom_Input,OA111,0,0,0,0,0,0,34.40543567,202.5501034,202.548497,202.548497,270.1021692,433.0556206,564.6771312,536.0941218,476.5615422,401.3942971,350.3371459,348.4963657,381.6957073,392.5209807,392.842338,343.9866611,314.7761911,289.4092965,275.9568385,258.6893021,239.9246843,223.8477212,206.9040801,415.191122,392.2166155,371.0688431,354.7928026,340.6138803,325.7756526,309.854819,296.8917575,282.790969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Emission,ktCO2e,STO_Nom_Input,OA111,0,0,0,0,0,0,28.10559674,165.4619805,165.4606682,165.4606682,220.6448632,353.7605731,461.281406,437.9321148,389.3003029,327.8966253,286.1883407,284.6846183,311.8049639,320.6480656,320.9105806,281.0006673,257.1388073,236.4167412,225.4275079,211.3217596,195.9930544,182.8598784,169.0187183,339.1671699,320.3994316,303.1239414,289.8281403,278.2454626,266.1242023,253.1185675,242.5291193,231.0102686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,S3,ktCO2e,STO_Nom_Input,OA1111,0,0,0,0,0,0,0.684508132,4.029804887,4.029772927,4.029772927,5.373776777,8.615792475,11.23444829,10.66577936,9.481357945,7.985879411,6.970079596,6.933456634,7.593969103,7.809341689,7.815735205,6.843734489,6.262582009,5.757898802,5.490257463,5.146713809,4.773385199,4.453528416,4.116428772,8.260372051,7.803286238,7.382543936,7.05872644,6.776631839,6.48142013,6.164669596,5.90676497,5.62622487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Emission,ktCO2e,STO_Nom_Input,OA1111,0,0,0,0,0,0,100.1068849,589.3446627,589.3399887,589.3399887,785.8957818,1260.029072,1642.998191,1559.832378,1386.61495,1167.906522,1019.349404,1013.993425,1110.59103,1142.088506,1143.023535,1000.87188,915.8803926,842.0722647,802.9306687,752.6886286,698.0906443,651.312725,602.0130985,1208.050096,1141.202918,1079.67085,1032.31369,991.0583558,947.884691,901.5610496,863.8434134,822.8154194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL,0,0,-0.052163424,-0.196087444,-0.979628863,-3.066912952,4.935763467,53.04026954,60.22204872,63.22176406,84.99448832,134.03319,95.26028452,89.99558773,79.36996311,66.87420808,58.89033205,59.56791767,66.7759684,69.26663412,67.25818919,62.18218217,57.64611987,53.7108984,52.05489033,43.21050152,44.1404104,40.41655552,38.99501953,39.62130519,48.11421247,38.54018485,23.14618146,21.62738562,-0.243492594,12.21566598,5.529084144,-0.439041134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL11,0,0,0,0,-0.269655529,-0.31913884,7.004723019,48.21890293,49.27448871,50.54819799,70.84031346,119.9586754,161.7617137,156.6568775,141.7068003,120.8965593,106.9937742,108.7487265,122.4155492,129.6260045,126.378102,117.2956503,109.0779517,101.8931518,98.94624658,94.30949383,88.81335413,84.13773993,78.84528383,77.21892883,87.95326875,79.40804446,47.76650487,41.33226006,13.59672426,26.54796543,19.2398763,12.25957483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL21,0,0,0,0,-0.063329396,-0.074950698,1.645079862,11.32435158,11.57225901,11.8713934,16.63705657,28.17264875,37.9902156,36.79132975,33.28026004,28.39291356,25.12780347,25.53995918,28.7496528,30.4430495,29.68027002,27.54722944,25.6172787,23.92990725,23.23781786,22.1488628,20.85807818,19.7599964,18.51704747,18.1350932,20.6560846,18.64921346,11.21810456,9.70700319,3.193230797,6.234867987,4.5185417,2.879197309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL22,0,0,-0.06237464,-0.23447241,-0.832128083,-3.265749589,-2.911038673,2.756471414,10.01603598,12.00043266,12.50471676,9.344640859,-89.61276273,-89.48539193,-83.38157423,-72.14099474,-64.19595353,-65.5937225,-74.16959115,-80.26320835,-78.57846331,-73.22102504,-68.3059356,-63.97193059,-62.24445767,-66.98643882,-58.95951532,-57.5297096,-52.57080853,-49.77571727,-53.12571436,-53.82271691,-32.42032873,-26.14118396,-17.39788941,-18.79441352,-17.59525044,-15.94937422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL41,0,0,0,0,-0.375673199,-0.444611352,9.758697394,67.17662941,68.64722891,70.42170928,98.69186555,167.1215849,225.3598907,218.2480389,197.4201948,168.428207,149.0594079,151.5043365,170.5444023,180.5897177,176.064871,163.4115658,151.9629998,141.9534266,137.8479172,131.3881804,123.7311804,117.2173034,109.8440672,107.578295,122.5329442,110.6280826,66.54636669,57.58243652,18.94240746,36.98555394,26.80421913,17.07954484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL61,0,0,0,0,0,0,3.841979617,23.1159037,23.62425933,24.14399254,32.90479339,53.91697146,71.85103253,69.71476395,63.36238112,54.52010719,48.63204048,49.44080349,55.34206475,58.38788755,57.060674,53.23930816,49.79015185,46.78482549,45.59158634,43.6790086,41.40190661,39.47742133,37.29204957,76.47967754,74.08900728,71.39277725,69.76305815,68.44526248,66.90693401,65.037165,63.47092033,61.99700937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL6108,0,0,0,0,0,0,6.658875234,40.06422053,40.9452967,41.84609238,57.03021244,93.44827971,124.5313897,120.8288334,109.818956,94.49362768,84.28849764,85.69023647,95.91823515,101.1972205,98.89690909,92.27376142,86.29572305,81.0869257,79.01881723,75.70395931,71.75731212,68.42181619,64.63415479,132.5537044,128.410222,123.7371469,120.9125364,118.6285479,115.9623346,112.7216723,110.0070749,107.4525092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL63,0,0,0,0,0,0,-1.926105849,-6.613769662,-6.746265612,-6.881677263,-7.217183781,-7.834094357,-8.362698058,-8.427024909,-8.404301877,-8.339281736,-8.348002923,-8.503798566,-8.765375856,-8.96920282,-9.091435501,-9.171552495,-9.266014741,-9.375645112,-9.52407375,-9.665504705,-9.806793114,-9.96023028,-10.11554645,-114.7919925,-96.56657171,-99.00205059,-101.3555788,-103.757566,-129.2366881,-108.4885636,-110.9460399,-113.3736075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL6302,0,0,0,0,0,0,-0.949132331,-3.259084966,-3.32437535,-3.391102512,-3.556430956,-3.86042763,-4.12090909,-4.152607605,-4.141410315,-4.109370166,-4.113667729,-4.190439565,-4.319337705,-4.419778064,-4.480010989,-4.519490455,-4.566038868,-4.620061719,-4.693203296,-4.762896606,-4.832519674,-4.908129316,-4.984664882,-50.03917387,-40.91458654,-41.96796509,-42.97773584,-44.00808444,-56.40684291,-46.02294842,-47.06997961,-48.09899041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.784782584,-3.868047768,-3.953143952,-4.040113719,-4.128995947,-4.219835068,-4.312484826,-4.407548764,-4.504515907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL64,0,0,0,0,-0.153381357,-0.181527702,-0.911743597,-4.572741498,-4.682668501,-4.684442959,-6.379262094,-10.28465515,-13.68506266,-13.28626981,-12.07916836,-10.41616698,-9.307935276,-9.467924502,-10.59245738,-11.04863871,-10.80229364,-10.07886108,-9.425893687,-8.856948203,-8.631052433,-8.268980265,-7.837896253,-7.473566286,-7.059849449,-14.47855321,-14.02597044,-13.51553903,-27.81658024,-28.23224037,-28.63559848,-29.00823132,-29.51232964,-29.98657999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL6404,0,0,0,0,0,0,-2.010545943,-12.09676005,-12.36269511,-12.63477066,-17.32919255,-28.21523427,-37.60028944,-36.4823647,-33.14452276,-28.53086057,-25.44959198,-25.87281857,-28.96099635,-30.54132415,-29.86036201,-27.86060538,-26.05563291,-24.48291894,-23.85848402,-22.85762194,-21.6659931,-20.65888988,-19.51526845,-40.02250396,-38.77144696,-37.36048117,-36.50763127,-35.81802121,-35.01299569,-34.03453585,-33.32809666,-32.44359261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL6408,0,0,0,0,-0.185224094,-0.21921376,-0.222691884,-0.237431934,-0.254002996,-0.137285951,-0.133136189,-0.09358952,-0.099954087,-0.106750421,-0.107230162,-0.114522229,-0.12230603,-0.130621545,-0.139500756,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.64258792,-18.44580668,-19.28459026,-20.16203698,-21.07940617,-22.03852084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL91,0,0,0,0,0.113078877,0.387535751,2.227739406,8.563477082,16.15087351,18.28854081,-26.3123471,-50.66893203,-34.41927531,-34.99802383,-33.02805941,-28.66287552,-25.34278539,-25.93387462,-29.44412816,-30.60064052,-29.88870287,-27.76536719,-25.79770992,-24.05242266,-23.30380786,-19.23288923,-19.73550913,-18.05132169,-17.447978,-16.10599558,-20.18109007,-15.84014917,-8.751398033,-8.119031743,0,-1.900067252,-1.134964631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL9101,0,0,0,0,0.115349544,0.395317616,2.272473261,8.735434959,16.4751892,18.65578167,-26.84070904,-51.68638346,-35.11042746,-35.70079746,-33.69127541,-29.23843696,-25.85167816,-26.45463669,-30.03537745,-31.21511302,-30.48887939,-28.32290632,-26.31573774,-24.53540445,-23.77175719,-19.61909296,-20.13180566,-18.4137991,-17.79834004,-16.4294101,-20.58633404,-16.1582254,-8.927129434,-8.282064989,0,-1.938221325,-1.157755153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL92,0,0,-0.012491449,-0.046956585,-0.189719562,-0.733085856,-1.037516162,-1.195228402,-1.289487661,-1.328242242,7.87290209,12.20965216,-10.92354179,-10.77994879,-9.959512247,-8.599069109,-7.685371978,-7.844692944,-8.845921138,-9.830290716,-9.638155867,-8.998484579,-8.415636332,-7.903787557,-7.710579247,-9.490843879,-7.780779488,-7.838071801,-6.968081543,-6.682136177,-6.521559907,-7.546851518,-4.707060375,-3.578591859,-3.484185953,-3.376179941,-3.292137625,-3.194099256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,USDM,STO_Nom_Input,PL9201,0,0,-0.046272641,-0.173943411,-0.702786791,-2.715603232,-3.84331824,-4.427538857,-4.776707711,-4.920268064,29.16394879,45.22876904,-40.464572,-39.93265391,-36.89347357,-31.85392226,-28.46927248,-29.05945237,-32.76834744,-36.41479238,-35.70305853,-33.33349513,-31.17442389,-29.27835923,-28.56264891,-35.15736404,-28.82269485,-29.03492537,-25.81218094,-24.75294053,-24.15811056,-27.95614485,-17.43657753,-13.25634036,-12.90662827,-12.5065367,-12.19521493,-11.83204695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,MMboe,STO_Nom_Input,PV,0,0,0,0,0,0,0.037394918,0.220153926,0.220152472,0.220152472,0.29357686,0.470692313,0.61375303,0.582686572,0.517979812,0.436279856,0.380785135,0.378784225,0.414868954,0.426635935,0.426984931,0.373882286,0.342133832,0.314561697,0.29994022,0.281171508,0.260777056,0.243302537,0.224885729,0.451276504,0.426304388,0.403318642,0.385627454,0.370216374,0.354088398,0.336784015,0.322694757,0.307368018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,MMboe,STO_Nom_Input,PV0001,0,0,0,0,0,0,0.230631498,1.35778958,1.357780611,1.357780611,1.810622274,2.902973978,3.785294609,3.593693609,3.194617533,2.690736678,2.348475446,2.336134921,2.558685886,2.631258218,2.633410635,2.305902429,2.110095247,1.940045324,1.849868014,1.734112813,1.608330936,1.500557616,1.386972769,2.783227837,2.629213422,2.487449847,2.378340234,2.28329308,2.183824503,2.077100486,1.990205612,1.895678625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,MMstb,STO_Nom_Input,SV,0,0,0,0,0,0,0.196529939,1.157024547,1.157016904,1.157016904,1.542900643,2.473735401,3.225594631,3.062324075,2.722256053,2.292879863,2.001225948,1.990710113,2.180354321,2.242195987,2.244030144,1.964947848,1.798093043,1.653186985,1.576343442,1.477703999,1.37052044,1.278682662,1.181892661,2.371695124,2.240453537,2.119651362,2.026674878,1.945681555,1.860920568,1.769976942,1.695930489,1.61538042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Arkansas,CAT_Default,MMstb,STO_Nom_Input,SV0004,0,0,0,0,0,0,0.251327304,1.479631351,1.479621578,1.479621578,1.973099162,3.163473466,4.124969479,3.916175089,3.481287768,2.932190971,2.559216795,2.545768888,2.78829055,2.867375187,2.869720753,2.512823471,2.299445457,2.114136038,2.015866632,1.889724094,1.752655132,1.635210731,1.511433305,3.032981859,2.865146901,2.710662117,2.591761511,2.488185264,2.379790836,2.263489898,2.168797479,2.065788077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case1,Pingu,CAT_Default,USDM,STO_Nom_Input,CF,0,0,0,-21.40470607,-79.90306106,-275.4311655,115.7043359,187.209531,174.3986755,264.9470877,279.3575684,281.0199351,288.7862275,312.3797293,310.0811681,310.9365993,292.0589233,294.9540916,267.1882251,272.2045226,270.0435313,280.9882357,297.8751414,329.1447921,252.4711014,202.8416289,142.5701998,107.4454918,77.3945542,-5.928259757,-29.18827569,-29.43317797,0.22726209,-0.699455889,-2.459962019,-2.514079516,-2.569393955,-2.625915147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gate,S,Case2,Pingu,CAT_Default,USDM,STO_Nom_Input,CF,0,0,0,-0.767026804,-1.189427847,-3.45330172,-5.329180821,-5.190842921,-1.37314978,6.213006092,8.83517322,8.336950136,9.143665589,9.674863848,8.54249464,6.193270693,4.812273631,5.200165711,2.762111527,2.423233547,1.874639798,0.960263321,0.260230032,-0.058439021,0.42847315,0.193343691,0.073130628,0.022277048,-0.00495637,-0.062897204,-0.015287302,0.055882521,0.042432318,0.044901397,-0.108655017,-0.119667243,-0.122299816,-0.124990389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
